ts_id,ds,prediction,lower_bound,upper_bound,value,anomaly_flag,abs_error
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T20:31:22.000+0000,-1972.0876,-44511.633,41405.652,1043,0,3015.0876
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T20:00:42.000+0000,-1950.7378,-44240.793,40641.848,1145,0,3095.7378
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T19:31:25.000+0000,-1937.1301,-43697.164,40615.12,1043,0,2980.1301
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T19:01:40.000+0000,-1930.3948,-43641.406,40385.156,1035,0,2965.3948
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T18:31:22.000+0000,-1926.5776,-43779.36,40502.86,1008,0,2934.5776
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T17:31:39.000+0000,-1894.6311,-42984.727,39443.402,1001,0,2895.631
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T17:01:37.000+0000,-1847.5387,-41687.93,38310.785,1050,0,2897.5386
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T16:30:40.000+0000,-1767.9459,-40091.75,36652.516,1015,0,2782.9458
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T16:01:37.000+0000,-1663.7483,-37560.242,34846.94,928,0,2591.7483
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T15:31:24.000+0000,-1530.0063,-34791.23,31765.482,862,0,2392.0063
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T15:00:41.000+0000,-1378.1688,-31249.373,28870.455,767,0,2145.169
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T14:31:20.000+0000,-1231.5707,-27910.338,26092.69,742,0,1973.5707
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T14:01:38.000+0000,-1095.9637,-24792.52,23194.164,724,0,1819.9637
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T13:30:28.000+0000,-981.03656,-22168.092,20297.803,719,0,1700.0366
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T13:01:35.000+0000,-908.01556,-20374.936,19075.527,718,0,1626.0156
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T12:30:28.000+0000,-868.81476,-19711.87,18146.396,757,0,1625.8147
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T12:01:32.000+0000,-866.7456,-19629.408,18425.812,795,0,1661.7456
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T11:31:23.000+0000,-892.74286,-20252.053,18708.184,881,0,1773.7429
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T11:01:37.000+0000,-936.7934,-21307.588,19647.533,938,0,1874.7935
10_9454C3610D0A_E2288FCE3225_5,2023-04-23T10:30:30.000+0000,-991.0955,-22396.205,20958.312,968,0,1959.0955
